play_id,game_id,home_team,away_team,week,posteam,posteam_type,defteam,game_half,drive,drive_plays,quarter,home_team_score,away_team_score,posteam_score,defteam_score,score_differential,side_of_field,yardline100,down,yds_to_go,goal_to_go,sp,yardline,play_type,desc,yards_gained,first_down,first_down_pass,first_down_rush,first_down_penalty,third_down_failed,third_down_converted,fourth_down_attempted,fourth_down_failed,fourth_down_converted,rush_attempt,pass_attempt,rusher,passer,receiver,targeted_receiver,rushing_yards,passing_yards,receiving_yards,yards_net,drive_first_downs,touchdown,pass_touchdown,rush_touchdown,return_touchdown,touchdown_team,touchdown_player,complete_pass,incomplete_pass,solo_tackle,assisted_tackle,tackled_for_loss,tackled_for_loss_yards,sack,sack_yards,half_tfl,full_tfl,full_sack,half_sack,penalty,penalty_team,penalty_type,penalty_accepted,penalty_yards,penalty_player,fumble,interception,interception_player,pass_deflection_player,fumble_lost,fumble_forced,fumble_team,fumble_recovery_team,forced_fumble_player,fumble_recovery_player,return_yards,return_team,touchback,return_player,assisted_tackle_player_1,assisted_tackle_player_2,solo_tackle_player,tackle_for_loss_player_1,tackle_for_loss_player_2,sack_player_1,sack_player_2,solo_tackle_player_2,timeout,timeout_team,safety,posteam_score_post,defteam_score_post,score_differential_post,home_team_score_post,away_team_score_post,recent_time,quarter_time,late_half,change_of_possession,home_team_timeouts_remaining,away_team_timeouts_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,xp_attempt,fg_attempt,two_point_attempt,punt_attempt,kickoff_attempt,xp_result,fg_result,two_point_result,kicker,kick_distance,kick_blocked,blocked_player,punter,punt_blocked,punt_downed,punt_out_of_bounds,punt_fair_catch,punt_returner,kickoff_downed,kickoff_out_of_bounds,kickoff_fair_catch,kick_returner
11,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,2,1,1,0,0,0,0,0,WIL,69,1,10,0,0,WIL31,pass,Jack Dickinson pass complete to Braden O'Connel for 10 yards to the WILLIAMS41 (Javon Williams).,10,1,1,0,0,,,,,,0,1,,Jack Dickinson,Braden O'Connel,Braden O'Connel,,10,10,10,1,0,0,0,0,,,1,0,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Javon Williams,,,,,,0,,0,0,0,0,0,0,12:03,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
12,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,2,2,1,0,0,0,0,0,WIL,59,1,10,0,0,WIL41,pass,Jack Dickinson pass complete to Mario Fischetti for 5 yards to the WILLIAMS46 (Nick Donatio; Joshua East).,5,0,0,0,0,,,,,,0,1,,Jack Dickinson,Mario Fischetti,Mario Fischetti,,5,5,15,1,0,0,0,0,,,1,0,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Nick Donatio,Joshua East,,,,,,,0,,0,0,0,0,0,0,12:03,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
13,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,2,3,1,0,0,0,0,0,WIL,54,2,5,0,0,WIL46,rush,Joel Nicholas rush for 2 yards to the WILLIAMS48 (Marc Dougherty).,2,0,0,0,0,,,,,,1,0,Joel Nicholas,,,,2,,,17,1,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Marc Dougherty,,,,,,0,,0,0,0,0,0,0,12:03,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
14,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,2,4,1,0,0,0,0,0,WIL,52,3,3,0,0,WIL48,rush,Joel Nicholas rush for loss of 2 yards to the WILLIAMS46 (Luke D'Aloia).,-2,0,0,0,0,1,0,,,,1,0,Joel Nicholas,,,,-2,,,15,1,0,0,0,0,,,,,1,0,1,2,0,0,0,1,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Luke D'Aloia,Luke D'Aloia,,,,,0,,0,0,0,0,0,0,12:03,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
15,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,2,5,1,0,0,0,0,0,WIL,54,4,5,0,0,WIL46,punt,"Tim Brown punt 28 yards to the COLBY26, fair catch by Will Nipon.",0,0,0,0,0,,,0,,,0,0,,,,,,,,15,1,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,COL,0,,,,,,,,,,0,,0,0,0,0,0,0,12:03,early,0,1,3,3,3,3,0,0,0,1,0,,,,,28,,,Tim Brown,0,0,0,1,,,,,
16,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,3,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0,0,0,0,09:41,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
17,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,3,1,1,0,0,0,0,0,COL,74,1,10,0,0,COL26,rush,Brendan Sawyer rush for 3 yards to the COLBY29 (Coleston Smith; Ethan Scott).,3,0,0,0,0,,,,,,1,0,Brendan Sawyer,,,,3,,,3,0,0,0,0,0,,,,,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Coleston Smith,Ethan Scott,,,,,,,0,,0,0,0,0,0,0,09:41,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
18,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,3,2,1,0,0,0,0,0,COL,71,2,7,0,0,COL29,rush,Keon Smart rush for 52 yards to the WILLIAMS19 (Christian Cutti; James Hemmer).,52,1,0,1,0,,,,,,1,0,Keon Smart,,,,52,,,55,1,0,0,0,0,,,,,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Christian Cutti,James Hemmer,,,,,,,0,,0,0,0,0,0,0,09:41,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
19,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,3,3,1,0,0,0,0,0,WIL,19,1,10,0,1,WIL19,pass,"Matt Hersch pass complete to Isaac Anderson for 19 yards to the WILLIAMS00, TOUCHDOWN, clock 08:17.",19,1,1,0,0,,,,,,0,1,,Matt Hersch,Isaac Anderson,Isaac Anderson,,19,19,74,2,1,1,0,0,COL,Isaac Anderson,1,0,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,6,0,6,6,0,08:17,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
20,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,3,4,1,6,0,6,0,6,WIL,3,1,3,1,1,WIL03,xp,Lowell Carr kick attempt good.,0,0,0,0,0,,,,,,0,0,,,,,,,,74,2,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,7,0,7,7,0,08:17,mid,0,0,3,3,3,3,1,0,0,0,0,made,,,Lowell Carr,20,0,,,,,,,,,,,
21,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,3,5,1,7,0,7,0,7,COL,60,1,10,0,0,COL40,kickoff,"Lowell Carr kickoff 60 yards to the WILLIAMS00, Mario Fischetti return 1 yards to the WILLIAMS01.",0,0,0,0,0,,,,,,0,0,,,,,,,,74,2,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,1,WIL,0,Mario Fischetti,,,,,,,,,0,,0,7,0,7,7,0,08:17,mid,0,1,3,3,3,3,0,0,0,0,1,,,,Lowell Carr,60,,,,,,,,,0,0,0,Mario Fischetti
22,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,4,1,1,7,0,0,7,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,7,-7,7,0,08:14,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
23,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,4,1,1,7,0,0,7,-7,WIL,99,1,10,0,0,WIL01,rush,Dan Vaughn rush for 2 yards to the WILLIAMS03 (Wellington Pere; Marc Dougherty).,2,0,0,0,0,,,,,,1,0,Dan Vaughn,,,,2,,,2,0,0,0,0,0,,,,,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Wellington Pere,Marc Dougherty,,,,,,,0,,0,0,7,-7,7,0,08:14,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
24,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,4,2,1,7,0,0,7,-7,WIL,97,2,8,0,0,WIL03,rush,"Jack Dickinson rush for 5 yards to the WILLIAMS08, out-of-bounds.",5,0,0,0,0,,,,,,1,0,Jack Dickinson,,,,5,,,7,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,0,7,-7,7,0,08:14,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
25,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,4,3,1,7,0,0,7,-7,WIL,92,3,3,0,0,WIL08,rush,Jack Dickinson rush for no gain to the WILLIAMS08 (Julian Young).,0,0,0,0,0,1,0,,,,1,0,Jack Dickinson,,,,0,,,7,0,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Julian Young,,,,,,0,,0,0,7,-7,7,0,08:14,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
26,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,4,4,1,7,0,0,7,-7,WIL,92,4,3,0,0,WIL08,punt,"Tim Brown punt 28 yards to the WILLIAMS36, fair catch by Will Nipon.",0,0,0,0,0,,,0,,,0,0,,,,,,,,7,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,COL,0,,,,,,,,,,0,,0,0,7,-7,7,0,08:14,mid,0,1,3,3,3,3,0,0,0,1,0,,,,,28,,,Tim Brown,0,0,0,1,,,,,
27,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,1,1,7,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
28,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,1,1,7,0,7,0,7,WIL,36,1,10,0,0,WIL36,rush,Brendan Sawyer rush for loss of 2 yards to the WILLIAMS38 (Calvin Jackson).,-2,0,0,0,0,,,,,,1,0,Brendan Sawyer,,,,-2,,,-2,0,0,0,0,0,,,,,1,0,1,2,0,0,0,1,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Calvin Jackson,Calvin Jackson,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
29,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,2,1,7,0,7,0,7,WIL,38,2,12,0,0,WIL38,rush,Keon Smart rush for 9 yards to the WILLIAMS29 (Chaz Cotton).,9,0,0,0,0,,,,,,1,0,Keon Smart,,,,9,,,7,0,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Chaz Cotton,,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
30,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,3,1,7,0,7,0,7,WIL,29,3,3,0,0,WIL29,rush,Brendan Sawyer rush for loss of 2 yards to the WILLIAMS31 (Desmond O'Mahon).,-2,0,0,0,0,1,0,,,,1,0,Brendan Sawyer,,,,-2,,,5,0,0,0,0,0,,,,,1,0,1,2,0,0,0,1,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Desmond O'Mahon,Desmond O'Mahon,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
31,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,4,1,7,0,7,0,7,WIL,31,4,5,0,0,WIL31,pass,Matt Hersch pass complete to Duke Ferrara for 7 yards to the WILLIAMS24 (Alex Dehmel; Christian Cutti).,7,1,1,0,0,,,1,0,1,0,1,,Matt Hersch,Duke Ferrara,Duke Ferrara,,7,7,12,1,0,0,0,0,,,1,0,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Alex Dehmel,Christian Cutti,,,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
32,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,5,1,7,0,7,0,7,WIL,24,1,10,0,0,WIL24,qb_kneel,TEAM rush for loss of 2 yards to the WILLIAMS26.,-2,0,0,0,0,,,,,,0,0,,,,,,,,10,1,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
33,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,6,1,7,0,7,0,7,WIL,26,2,12,0,0,WIL26,pass,"Matt Hersch pass complete to Duke Ferrara for 12 yards to the WILLIAMS14 (James Hemmer), out-of-bounds.",12,1,1,0,0,,,,,,0,1,,Matt Hersch,Duke Ferrara,Duke Ferrara,,12,12,22,2,0,0,0,0,,,1,0,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,James Hemmer,,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
34,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,7,1,7,0,7,0,7,WIL,14,1,10,0,0,WIL14,rush,"Matt Hersch rush for no gain to the WILLIAMS14 (Ethan Scott), out-of-bounds.",0,0,0,0,0,,,,,,1,0,Matt Hersch,,,,0,,,22,2,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Ethan Scott,,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
35,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,8,1,7,0,7,0,7,WIL,14,2,10,0,0,WIL14,rush,Keon Smart rush for loss of 4 yards to the WILLIAMS18 (C.J. Vilfort).,-4,0,0,0,0,,,,,,1,0,Keon Smart,,,,-4,,,18,2,0,0,0,0,,,,,1,0,1,4,0,0,0,1,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,C.J. Vilfort,C.J. Vilfort,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
36,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,9,1,7,0,7,0,7,WIL,18,3,14,0,0,WIL18,pass,Matt Hersch pass complete to Jack Sawyer for 13 yards to the WILLIAMS05 (Rocco Giandomen).,13,0,0,0,0,1,0,,,,0,1,,Matt Hersch,Jack Sawyer,Jack Sawyer,,13,13,31,2,0,0,0,0,,,1,0,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Rocco Giandomen,,,,,,0,,0,7,0,7,7,0,06:15,mid,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
37,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,10,1,7,0,7,0,7,WIL,5,4,1,0,0,WIL05,No Play,"Timeout Colby, clock 01:06.",0,0,0,0,0,,,0,,,0,0,,,,,,,,31,2,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,1,COL,0,7,0,7,7,0,01:06,late,0,0,2,3,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
38,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,10,1,7,0,7,0,7,WIL,5,4,1,0,1,WIL05,pass,"Matt Hersch pass complete to Brendan Sawyer for 5 yards to the WILLIAMS00, TOUCHDOWN, clock 01:01.",5,1,1,0,0,,,1,0,1,0,1,,Matt Hersch,Brendan Sawyer,Brendan Sawyer,,5,5,36,3,1,1,0,0,COL,Brendan Sawyer,1,0,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,13,0,13,13,0,01:01,late,0,0,2,3,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
39,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,11,1,13,0,13,0,13,WIL,3,1,3,1,1,WIL03,xp,Lowell Carr kick attempt good.,0,0,0,0,0,,,,,,0,0,,,,,,,,36,3,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,14,0,14,14,0,01:01,late,0,0,2,3,2,3,1,0,0,0,0,made,,,Lowell Carr,20,0,,,,,,,,,,,
40,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,5,12,1,14,0,14,0,14,COL,60,1,10,0,0,COL40,kickoff,"Lowell Carr kickoff 57 yards to the WILLIAMS03, fair catch by Mario Fischetti.",0,0,0,0,0,,,,,,0,0,,,,,,,,36,3,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,WIL,0,,,,,,,,,,0,,0,14,0,14,14,0,01:01,late,0,1,2,3,2,3,0,0,0,0,1,,,,Lowell Carr,57,,,,,,,,,0,0,1,
41,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,6,1,1,14,0,0,14,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,14,-14,14,0,01:01,late,0,0,2,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
42,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,6,1,1,14,0,0,14,-14,WIL,97,1,10,0,0,WIL03,No Play,"WILLIAMS ball on WILLIAMS25, clock 01:01.",0,0,0,0,0,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,0,14,-14,14,0,01:01,late,0,0,2,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
43,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,7,1,1,14,0,0,14,-14,WIL,75,1,10,0,0,WIL25,No Play,Williams drive start at 01:01.,0,0,0,0,0,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,0,14,-14,14,0,01:01,late,0,0,2,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
44,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,7,1,1,14,0,0,14,-14,WIL,75,1,10,0,0,WIL25,No Play,PENALTY COLBY offside defense 5 yards to the WILLIAMS30.,0,0,0,0,0,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,1,COL,offside defense,1,5,,0,0,,,,,,,,,0,,0,,,,,,,,,,0,,0,0,14,-14,14,0,01:01,late,0,0,2,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
45,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,7,1,1,14,0,0,14,-14,WIL,70,1,5,0,0,WIL30,rush,Mario Fischetti rush for 18 yards to the WILLIAMS48 (Nick Donatio; Will Nipon).,18,1,0,1,0,,,,,,1,0,Mario Fischetti,,,,18,,,18,1,0,0,0,0,,,,,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Nick Donatio,Will Nipon,,,,,,,0,,0,0,14,-14,14,0,01:01,late,0,0,2,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
